Sequence	Sample Size	# Interquartile Range	Interquartile Range	# Standard Deviation	Standard Deviation	# Maximum	Maximum	# Minimum	Minimum	# Total
obbb	100000000	218	1,0311204799999996	261	0,7447170987299121	265	3,3649241599999993	276	5,72E-6	1020
rbbb	100000000	184	0,91657956	237	0,6956227798809905	299	3,77839644	301	0,0	1021
cccc	100000000	338	1,6842358	322	0,9157286589962962	168	2,6973174799999993	194	0,016038359999999995	1022
oboo	100000000	266	1,2005182799999998	278	0,7621520586884193	211	2,96213684	270	8,84E-6	1025
oobo	100000000	267	1,20063996	277	0,7621498680629532	212	2,96287212	271	8,320000000000003E-6	1027
cbc	100000000	286	1,2833584399999998	285	0,7837548731079063	258	3,28461276	200	0,013596960000000002	1029
rboo	100000000	223	1,0522371599999993	239	0,6994413509784352	275	3,3981256399999995	296	5,200000000000001E-7	1033
obbo	100000000	249	1,1169288000000008	266	0,7472271719244862	260	3,3030556	262	1,4975999999999998E-4	1037
robb	100000000	201	0,98813156	238	0,6966929343603976	302	3,83508268	296	5,200000000000001E-7	1037
bbbb	100000000	192	0,96468632	271	0,7585072243637103	290	3,58721376	289	1,56E-6	1042
boob	100000000	231	1,07007732	265	0,7472026543944731	263	3,33835424	285	2,6000000000000005E-6	1044
bcb	100000000	211	1,017787680000001	244	0,7038578480673553	291	3,59249956	301	0,0	1047
ocb	100000000	271	1,2078346800000004	279	0,7635251684188599	218	2,9860864799999995	280	3,6400000000000007E-6	1048
bco	100000000	270	1,20778268	280	0,7635814223298208	220	2,98679264	281	3,64E-6	1051
rooc	100000000	290	1,30670904	256	0,7289299202111648	267	3,36795784	253	8,954399999999998E-4	1066
bboo	100000000	244	1,1105099199999995	272	0,7608725528111613	281	3,4240492	285	2,6000000000000005E-6	1082
roob	100000000	234	1,0760042800000003	251	0,717026631427048	300	3,8088856	301	0,0	1086
rocc	100000000	309	1,4319250399999996	283	0,7710876630855196	248	3,15635372	247	0,00237172	1087
oobb	100000000	245	1,1105650399999998	273	0,7609037815801769	280	3,4239738	289	1,56E-6	1087
br	100000000	187	0,9376718	292	0,8080412293803282	318	4,19413644	293	1,0400000000000002E-6	1090
ooob	100000000	269	1,2073110399999991	287	0,7840489588057287	279	3,41554044	278	4,160000000000001E-6	1113
booo	100000000	268	1,2071872800000005	286	0,7839830168322219	278	3,41520296	285	2,6000000000000005E-6	1117
obc	100000000	284	1,27998936	293	0,8118345733988215	288	3,54286764	264	1,0191999999999996E-4	1129
cbo	100000000	283	1,2799727200000004	294	0,8118525145928517	289	3,54298308	266	9,567999999999998E-5	1132
rccc	100000000	335	1,6097640000000002	308	0,8604123289995405	234	3,09267244	260	1,638E-4	1137
coc	100000000	337	1,6829550399999997	323	0,9251922757078356	243	3,1362884799999993	241	0,00380068	1144
cob	100000000	293	1,3338239200000008	300	0,8298789782712271	276	3,40525328	275	6,24E-6	1144
boc	100000000	294	1,3338488799999997	301	0,8299365501504267	277	3,40592928	274	6,76E-6	1146
rco	100000000	333	1,5907106799999997	312	0,8768945262972867	244	3,1372614000000008	259	2,0696E-4	1148
rr	100000000	191	0,96102084	309	0,8663272627764068	348	13,129163840000002	301	0,0	1149
cbb	100000000	274	1,2221195999999996	304	0,8382026502176403	294	3,66914548	278	4,160000000000001E-6	1150
bbc	100000000	275	1,2222225600000005	303	0,838156454960278	293	3,66867696	281	3,64E-6	1152
obo	100000000	297	1,36667128	306	0,8529335898657081	252	3,20759712	301	0,0	1156
rbo	100000000	272	1,2182768000000004	289	0,8066126782470776	304	3,85906612	301	0,0	1166
rooo	100000000	278	1,2645536800000001	276	0,7613614688462181	311	3,95735288	301	0,0	1166
ccc	100000000	348	1,7942132	330	1,0593678592718236	235	3,0926818	254	8,798400000000001E-4	1167
occ	100000000	339	1,69722696	325	0,9379045705601977	254	3,2223697999999996	255	7,347600000000001E-4	1173
cco	100000000	340	1,69742092	326	0,9379345491668793	253	3,2209751599999987	256	7,306000000000002E-4	1175
rcb	100000000	291	1,3190678800000002	297	0,8199527837277986	286	3,4829537600000005	301	0,0	1175
rbc	100000000	273	1,2192471199999995	288	0,7925618117811501	316	4,147917799999997	301	0,0	1178
oooo	100000000	302	1,38701316	298	0,8271318060428685	287	3,49120928	293	1,0400000000000002E-6	1180
ccb	100000000	306	1,42070396	317	0,8856995945538292	269	3,376724	293	1,0400000000000002E-6	1185
bob	100000000	276	1,2344191600000007	307	0,8537729703604278	301	3,8282712	301	0,0	1185
bcc	100000000	307	1,4208318800000004	316	0,8856300597530589	271	3,37852216	301	0,0	1195
rbb	100000000	260	1,1585350399999998	305	0,841909189073759	330	4,79975756	301	0,0	1196
coo	100000000	331	1,5838934799999997	318	0,8869108559228451	282	3,44075056	267	8,631999999999999E-5	1198
bbb	100000000	262	1,1699989599999998	321	0,9016008905943881	315	4,132210680000001	301	0,0	1199
obb	100000000	281	1,2739672399999993	310	0,8669126661462633	309	3,92696824	301	0,0	1201
ooc	100000000	332	1,5840655999999997	319	0,8869603557894133	283	3,44187012	268	7,643999999999999E-5	1202
bbo	100000000	282	1,2739958399999998	311	0,8669217646154602	310	3,9276822	301	0,0	1204
rob	100000000	277	1,2584156000000006	302	0,8324672019171305	326	4,599063560000002	301	0,0	1206
boo	100000000	300	1,3844495600000006	314	0,8845168547022578	307	3,90223548	301	0,0	1222
oob	100000000	301	1,3846133599999997	315	0,8845297361821735	306	3,89993604	301	0,0	1223
c	100000000	261	1,1648145600000004	347	1,634654814505335	335	5,239737359999999	301	0,0	1244
roc	100000000	330	1,5824764800000006	320	0,887214237335273	308	3,91742468	296	5,200000000000001E-7	1254
roo	100000000	316	1,4954716399999997	313	0,8839833309975974	329	4,770320880000001	301	0,0	1259
ooo	100000000	334	1,60127292	324	0,9360958278574646	314	4,061161	296	5,200000000000001E-7	1268
rcc	100000000	346	1,76367932	327	0,9930358805744608	296	3,71165184	301	0,0	1270
bo	100000000	319	1,53415496	328	1,0494481597562022	327	4,7463026	301	0,0	1275
bb	100000000	305	1,4092239199999994	338	1,1275359283776154	333	5,020605720000002	301	0,0	1277
bc	100000000	325	1,5524028	331	1,0760422685208415	321	4,274722920000001	301	0,0	1278
ob	100000000	320	1,5342158	329	1,0494743910208635	328	4,747154879999997	301	0,0	1278
cc	100000000	343	1,75046144	340	1,2640287680438202	298	3,75445252	301	0,0	1282
cb	100000000	327	1,55244024	332	1,0760939327465961	322	4,2762158400000025	301	0,0	1282
rb	100000000	314	1,47451928	333	1,0872460787841693	340	6,47282012	301	0,0	1288
co	100000000	345	1,76367672	337	1,1028069051393967	312	4,02007736	296	5,200000000000001E-7	1290
cp	100000000	315	1,48300516	345	1,5396875570085051	332	4,99683704	301	0,0	1293
oc	100000000	347	1,7638504	336	1,1028031677920107	313	4,020333200000001	301	0,0	1297
bp	100000000	324	1,5425446399999998	342	1,4007307744222408	339	6,365740160000001	301	0,0	1306
o	100000000	317	1,5094414400000002	343	1,4391322887803257	345	8,50648864	301	0,0	1306
b	100000000	318	1,5221034399999998	346	1,5650384343082908	343	6,9964679200000015	301	0,0	1308
oo	100000000	344	1,7569734000000004	335	1,100621182654936	331	4,93270544	301	0,0	1311
op	100000000	336	1,612370759999999	341	1,3356302291771127	342	6,63428376	301	0,0	1320
ro	100000000	342	1,7079644399999998	334	1,0896293462458388	344	7,5783838	301	0,0	1321
rc	100000000	349	1,84652208	339	1,1842640808456928	334	5,04769304	301	0,0	1323
r	100000000	329	1,5628979599999997	348	1,750542501165539	349	26,14527552	301	0,0	1327
rp	100000000	341	1,69973232	344	1,4955976583293935	346	10,197098599999999	301	0,0	1332
